IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
107.182.189.209,17114,TRUE,LAX,北美洲,美国洛杉矶,206 ms,8198 kB/s
138.128.222.207,433,TRUE,LAX,北美洲,美国洛杉矶,176 ms,8178 kB/s
66.112.212.21,2025,TRUE,LAX,北美洲,美国洛杉矶,175 ms,8152 kB/s
93.179.114.166,10443,TRUE,LAX,北美洲,美国洛杉矶,203 ms,8056 kB/s
174.137.49.121,587,TRUE,LAX,北美洲,美国洛杉矶,196 ms,8992 kB/s
107.182.179.27,2443,TRUE,LAX,北美洲,美国洛杉矶,202 ms,7927 kB/s
98.142.142.179,587,TRUE,LAX,北美洲,美国洛杉矶,203 ms,7870 kB/s
174.137.52.235,50971,TRUE,LAX,北美洲,美国洛杉矶,209 ms,7835 kB/s
172.93.37.248,443,TRUE,YVR,北美洲,Vancouver,212 ms,7779 kB/s
104.224.167.96,443,TRUE,LAX,北美洲,美国洛杉矶,204 ms,7732 kB/s
66.112.217.201,443,TRUE,LAX,北美洲,美国洛杉矶,203 ms,7721 kB/s
66.98.120.147,9981,TRUE,LAX,北美洲,美国洛杉矶,196 ms,7703 kB/s
45.62.101.243,2201,TRUE,LAX,北美洲,美国洛杉矶,193 ms,7630 kB/s
174.137.61.42,443,TRUE,LAX,北美洲,美国洛杉矶,212 ms,7321 kB/s
162.219.120.218,443,TRUE,LAX,北美洲,美国洛杉矶,195 ms,7248 kB/s
172.96.245.40,10778,TRUE,CDG,欧洲,法国巴黎,220 ms,7227 kB/s
97.64.26.142,30840,TRUE,LAX,北美洲,美国洛杉矶,201 ms,7209 kB/s
176.122.132.65,1991,TRUE,LAX,北美洲,美国洛杉矶,177 ms,7058 kB/s
185.239.70.241,443,TRUE,AMS,欧洲,荷兰阿姆斯特丹,281 ms,6474 kB/s
185.239.70.41,15555,TRUE,AMS,欧洲,荷兰阿姆斯特丹,227 ms,6385 kB/s
23.105.220.235,19133,TRUE,LAX,北美洲,美国洛杉矶,183 ms,6082 kB/s
104.225.153.70,443,TRUE,LAX,北美洲,美国洛杉矶,199 ms,6052 kB/s
144.34.239.84,8099,TRUE,SIN,亚太,新加坡,141 ms,5612 kB/s
